id,click,impression,adid,advertiserid,depth,position,queryid,keywordid,titleid,description,userid,displayurl
1,0,1,22166806,38756,3,3,6415,34,3341,2080,490234,21256
3,0,1,22111129,38584,3,2,6415,8872,454986,378040,490234,5598
4,0,1,22166807,38756,2,1,83,34,5360,2080,490234,21256
5,0,1,20180629,27961,2,2,83,34,328,455,490234,1006
6,0,1,20163622,27961,1,1,36,394,494,724,16870787,1006
7,0,3,10400310,29439,2,1,4595820,63,198,119,3514779,13855
8,0,1,2580207,1267,1,1,21942421,193,679,979,3514779,20554
10,0,1,20879032,19561,1,1,12933754,3024,22854,22191,3514779,21667
11,0,3,10400310,29439,2,1,4595820,63,197,119,3514779,19631
14,0,1,20876635,34760,1,1,68,100,34,40,6231944,4772
